2011 super output area - lower layer,mnemonic,All categories: Accommodation type,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In commercial building",Unshared dwelling: Caravan or other mobile or temporary structure
Hackney 001E,E01001825,428,19,43,175,114,71,1,0
Hackney 002A,E01001714,632,3,22,26,504,43,2,0
Hackney 002D,E01001811,646,5,12,15,575,21,0,0
Hackney 002E,E01001813,525,4,13,5,422,32,7,1
Hackney 002F,E01033701,760,4,17,17,654,31,6,0
Hackney 003A,E01001799,485,17,40,117,129,160,5,0
Hackney 003B,E01001802,471,6,38,46,279,100,0,0
Hackney 003C,E01001804,464,9,84,53,225,90,0,0
Hackney 003D,E01001807,693,24,24,84,296,220,3,0
Hackney 003E,E01001812,614,11,34,75,290,183,4,0
Hackney 004A,E01001725,573,19,41,158,229,119,4,0
Hackney 004B,E01001726,464,6,10,41,375,17,0,0
Hackney 004C,E01001800,643,2,8,15,599,14,0,0
Hackney 004D,E01001824,539,12,39,37,368,78,0,0
Hackney 004E,E01001826,585,14,43,97,328,93,5,0
Hackney 006A,E01001723,671,9,27,151,170,264,7,0
Hackney 006B,E01001724,980,18,28,106,574,193,61,0
Hackney 006C,E01001727,573,22,46,155,74,247,4,0
Hackney 006D,E01001768,719,12,23,190,152,299,7,0
Hackney 006E,E01001769,662,10,19,132,111,351,2,0
Hackney 007A,E01001715,673,9,15,26,151,393,2,0
Hackney 007B,E01001716,633,4,16,17,393,151,4,0
Hackney 007C,E01001717,427,21,47,162,189,7,1,0
Hackney 007D,E01001718,824,8,58,62,114,473,34,0
Hackney 007E,E01001719,484,6,5,6,431,6,4,0
Hackney 007F,E01001720,785,5,33,66,119,490,21,1
Hackney 008A,E01001742,789,12,22,83,547,119,4,0
Hackney 008B,E01001801,588,11,38,122,334,69,0,2
Hackney 008C,E01001803,719,15,46,109,307,201,0,0
Hackney 008D,E01001806,714,7,32,138,454,48,13,0
Hackney 009A,E01001741,599,8,27,300,133,85,31,0
Hackney 009B,E01001805,510,5,24,129,151,130,19,0
Hackney 009C,E01001829,696,12,33,372,116,108,42,0
Hackney 009D,E01001831,745,17,22,177,290,121,106,1
Hackney 009E,E01001832,642,17,17,210,117,228,39,0
Hackney 010A,E01001764,696,19,17,97,321,222,4,1
Hackney 010B,E01001765,722,17,27,93,541,21,8,5
Hackney 010D,E01001767,628,12,23,139,233,198,6,1
Hackney 010E,E01001770,784,9,16,55,515,163,8,1
Hackney 010F,E01033703,625,21,31,45,344,162,21,0
Hackney 010G,E01033713,601,16,28,64,178,285,19,1
Hackney 011A,E01001792,620,28,46,291,133,117,3,0
Hackney 011B,E01001793,656,17,35,242,149,176,2,0
Hackney 011C,E01001794,656,27,47,273,116,186,3,0
Hackney 011D,E01001795,571,14,30,191,108,153,23,0
Hackney 011E,E01001796,737,21,37,162,210,226,30,2
Hackney 012A,E01001736,707,15,27,184,191,278,7,0
Hackney 012B,E01001737,754,6,11,157,330,191,19,1
Hackney 012C,E01001738,785,10,12,158,345,203,40,2
Hackney 012D,E01001739,898,11,22,276,280,283,18,0
Hackney 013A,E01001786,717,14,7,49,592,27,6,3
Hackney 013B,E01001787,628,32,38,107,429,20,1,1
Hackney 013C,E01001788,670,26,30,100,501,6,5,0
Hackney 013D,E01001790,492,13,20,37,402,4,2,0
Hackney 014A,E01001740,624,11,26,54,504,14,4,1
Hackney 014B,E01001747,943,15,29,187,506,166,33,0
Hackney 014C,E01001830,932,14,28,107,677,52,48,0
Hackney 014D,E01001833,931,25,36,179,314,343,19,0
Hackney 014E,E01001834,862,13,24,151,350,269,35,1
Hackney 014F,E01001835,483,12,25,229,87,117,3,0
Hackney 015A,E01001733,701,24,51,268,179,121,36,0
Hackney 015B,E01001785,569,27,43,291,116,78,8,0
Hackney 015C,E01001789,646,23,65,305,111,132,1,0
Hackney 015D,E01001791,500,27,37,223,174,25,4,0
Hackney 016A,E01001745,958,18,36,103,583,157,38,3
