2011 super output area - lower layer,mnemonic,All categories: Accommodation type,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In commercial building",Unshared dwelling: Caravan or other mobile or temporary structure
Bexley 002B,E01000418,754,95,137,335,182,4,1,0
Bexley 002C,E01000422,681,8,39,129,494,1,0,0
Bexley 002D,E01000464,546,24,28,279,209,6,0,0
Bexley 002E,E01000465,707,9,47,213,426,0,4,0
Bexley 002F,E01000470,590,11,37,117,413,4,4,0
Bexley 003A,E01000333,793,49,103,228,348,13,47,0
Bexley 003B,E01000335,638,30,219,244,125,16,4,0
Bexley 003C,E01000336,793,20,78,179,475,27,12,0
Bexley 003D,E01000337,663,23,161,274,168,35,2,0
Bexley 003E,E01000338,693,44,174,266,147,56,6,0
Bexley 004A,E01000403,990,49,189,93,623,22,11,1
Bexley 004B,E01000404,959,26,75,181,644,20,10,0
Bexley 004C,E01000405,522,19,111,312,66,10,1,3
Bexley 004D,E01000408,570,26,129,372,24,8,9,2
Bexley 005A,E01000332,611,72,245,133,141,20,0,0
Bexley 005B,E01000402,660,67,122,128,306,19,1,0
Bexley 005C,E01000406,594,24,152,278,88,46,1,0
Bexley 005D,E01000407,630,130,224,73,176,27,0,0
Bexley 006A,E01000334,640,38,281,220,95,4,2,0
Bexley 006B,E01000417,713,85,241,85,265,26,9,0
Bexley 006C,E01000419,594,27,366,180,12,2,7,0
Bexley 006D,E01000420,604,65,355,84,92,7,1,0
Bexley 006E,E01000442,626,23,490,54,44,6,9,0
Bexley 007A,E01000437,498,16,378,99,2,3,0,0
Bexley 007B,E01000438,599,20,143,397,16,22,1,0
Bexley 007C,E01000439,496,18,123,296,15,12,32,0
Bexley 007D,E01000440,517,39,377,100,0,0,1,0
Bexley 007E,E01000441,672,50,193,215,194,5,14,1
Bexley 008A,E01000373,688,5,24,109,540,7,1,0
Bexley 008B,E01000429,719,23,75,290,326,4,1,0
Bexley 008C,E01000430,678,14,288,276,95,5,0,0
Bexley 008D,E01000431,681,13,80,274,304,5,1,0
Bexley 008E,E01000432,640,15,271,268,75,6,5,0
Bexley 008F,E01000433,720,37,206,148,318,4,5,0
Bexley 008G,E01000434,596,20,117,335,120,3,1,0
Bexley 009A,E01000356,628,30,538,19,10,5,26,0
Bexley 009B,E01000357,488,7,474,3,2,1,1,0
Bexley 009C,E01000359,488,14,442,9,16,0,7,0
Bexley 009D,E01000421,603,20,557,21,5,0,0,0
Bexley 009E,E01000450,645,18,477,46,86,18,0,0
Bexley 009F,E01000451,621,12,576,16,11,4,2,0
Bexley 009G,E01000452,495,9,468,8,7,1,2,0
Bexley 010A,E01000367,605,16,333,158,95,2,1,0
Bexley 010B,E01000368,632,7,379,93,146,7,0,0
Bexley 010C,E01000372,593,33,408,48,100,3,1,0
Bexley 010D,E01000380,758,10,240,127,369,11,1,0
Bexley 010E,E01000435,597,13,250,93,207,28,1,0
Bexley 011A,E01000353,662,109,488,62,2,0,1,0
Bexley 011B,E01000354,623,18,325,141,127,10,2,0
Bexley 011C,E01000355,613,74,429,104,6,0,0,0
Bexley 011D,E01000358,659,26,348,115,125,33,12,0
Bexley 011E,E01000436,615,15,568,12,6,1,13,0
Bexley 013A,E01000401,637,16,365,138,79,20,19,0
Bexley 013B,E01000453,513,8,458,18,17,3,9,0
Bexley 013C,E01000454,628,8,311,198,100,8,3,0
Bexley 013D,E01000455,605,11,537,33,10,10,4,0
Bexley 013E,E01000456,487,6,470,9,1,0,1,0
Bexley 014A,E01000325,583,22,521,18,10,4,8,0
Bexley 014B,E01000326,544,5,113,401,19,3,3,0
Bexley 014C,E01000369,626,20,349,204,42,9,2,0
Bexley 014D,E01000370,649,95,337,128,78,1,10,0
Bexley 014E,E01000371,634,15,424,48,134,11,2,0
Bexley 015A,E01000360,662,67,178,198,100,45,74,0
Bexley 015B,E01000362,626,72,345,108,93,4,4,0
Bexley 015C,E01000365,700,40,317,65,224,49,5,0
Bexley 015D,E01000366,655,45,296,206,92,14,2,0
Bexley 015E,E01000394,624,37,297,130,131,11,18,0
Bexley 016A,E01000388,621,92,471,28,21,9,0,0
Bexley 016B,E01000392,695,10,199,103,290,24,66,0
Bexley 016C,E01000409,649,7,625,8,6,1,2,0
Bexley 016D,E01000411,551,10,230,304,4,1,2,0
Bexley 016E,E01000414,674,34,380,58,105,11,86,0
Bexley 016F,E01000415,512,26,449,28,7,0,2,0
Bexley 017A,E01000327,604,92,411,35,56,9,1,0
Bexley 017B,E01000328,596,65,323,111,82,11,3,1
Bexley 017C,E01000329,517,26,370,55,57,4,3,0
Bexley 017D,E01000330,772,39,240,195,261,26,11,0
Bexley 017E,E01000331,617,25,358,127,96,10,1,0
Bexley 018A,E01000340,619,65,249,264,37,1,3,0
Bexley 018B,E01000395,499,15,394,84,2,1,3,0
Bexley 018C,E01000396,507,5,229,270,3,0,0,0
Bexley 018D,E01000410,594,21,214,327,8,2,22,0
Bexley 018E,E01000412,632,18,293,254,55,6,6,0
Bexley 018F,E01000413,505,6,225,258,4,4,8,0
Bexley 019A,E01000374,534,12,314,199,9,0,0,0
Bexley 019B,E01000375,565,10,275,233,44,1,2,0
Bexley 019C,E01000376,606,21,301,234,45,3,2,0
Bexley 019D,E01000377,649,34,288,139,177,9,2,0
Bexley 019E,E01000378,968,103,223,240,319,12,63,1
Bexley 019F,E01000379,663,72,317,217,41,11,5,0
Bexley 020A,E01000348,523,80,426,12,3,2,0,0
Bexley 020B,E01000349,650,149,429,27,39,5,1,0
Bexley 020C,E01000361,602,76,299,188,31,6,2,0
Bexley 020D,E01000363,565,164,307,31,46,16,1,0
Bexley 020E,E01000389,714,153,238,80,226,16,1,0
Bexley 020F,E01000390,515,87,270,92,62,3,1,0
Bexley 020G,E01000393,640,20,288,287,15,15,15,0
Bexley 021A,E01000346,625,16,196,407,3,2,1,0
Bexley 021B,E01000347,618,12,116,408,63,1,18,0
Bexley 021C,E01000350,521,10,300,183,6,5,17,0
Bexley 021D,E01000352,676,51,245,149,180,23,28,0
Bexley 021E,E01000391,644,10,318,306,5,2,3,0
Bexley 022A,E01000341,610,71,349,136,49,5,0,0
Bexley 022B,E01000342,644,17,99,444,81,3,0,0
Bexley 022C,E01000343,550,35,303,171,16,0,25,0
Bexley 022D,E01000345,487,31,309,143,2,1,1,0
Bexley 022E,E01000460,498,163,230,52,34,19,0,0
Bexley 023A,E01000364,651,113,361,27,142,7,1,0
Bexley 023B,E01000444,626,395,166,39,15,10,1,0
Bexley 023C,E01000447,713,60,205,245,107,42,52,2
Bexley 023D,E01000448,504,205,236,55,7,1,0,0
Bexley 023E,E01000449,648,218,258,13,132,27,0,0
Bexley 024A,E01000351,616,59,282,271,3,0,1,0
Bexley 024B,E01000443,510,21,217,223,46,1,2,0
Bexley 024C,E01000445,687,96,427,121,29,3,11,0
Bexley 024D,E01000446,602,6,144,434,10,0,8,0
Bexley 024E,E01000461,569,20,455,86,2,4,2,0
Bexley 025A,E01000339,602,24,391,155,21,8,3,0
Bexley 025B,E01000344,646,47,401,136,27,17,18,0
Bexley 025C,E01000423,609,24,520,20,34,11,0,0
Bexley 025D,E01000425,590,42,515,30,3,0,0,0
Bexley 025E,E01000463,452,48,163,235,5,0,1,0
Bexley 026A,E01000424,765,188,176,53,337,10,1,0
Bexley 026B,E01000426,712,46,232,248,156,15,13,0
Bexley 026C,E01000427,922,62,286,157,406,10,1,0
Bexley 026D,E01000457,825,53,93,213,352,67,47,0
Bexley 026E,E01000462,738,43,187,151,266,34,55,0
Bexley 027A,E01000382,587,33,444,20,70,15,5,0
Bexley 027B,E01000384,780,66,214,220,251,25,4,0
Bexley 027C,E01000387,618,31,492,25,59,8,3,0
Bexley 027D,E01000428,882,64,72,33,654,24,22,0
Bexley 027E,E01000458,631,165,204,59,189,12,2,0
Bexley 027F,E01000459,781,148,133,63,372,47,18,0
Bexley 028A,E01000381,660,44,321,74,196,20,3,2
Bexley 028B,E01000383,633,105,357,111,47,4,7,2
Bexley 028C,E01000385,770,17,188,231,310,11,13,0
Bexley 028D,E01000386,659,11,79,152,400,14,1,2
Bexley 029A,E01000398,611,17,395,188,10,1,0,0
Bexley 029B,E01000399,619,46,402,33,112,9,17,0
Bexley 029C,E01000400,590,13,425,37,102,9,4,0
Bexley 029D,E01032566,747,17,291,166,262,7,4,0
Brent 001A,E01000587,458,31,333,66,11,17,0,0
Brent 001B,E01000589,592,30,154,316,80,12,0,0
Brent 001C,E01000590,626,17,211,215,149,25,3,1
Brent 001D,E01000592,525,45,322,21,107,9,16,0
Brent 001E,E01000593,680,54,348,80,185,12,1,0
Brent 001F,E01000594,527,27,262,75,137,8,17,1
Brent 002A,E01000513,471,18,404,10,26,12,1,0
Brent 002B,E01000514,495,19,179,119,129,48,1,0
Brent 002C,E01000516,517,52,181,158,51,36,39,0
Brent 002D,E01000520,586,26,202,49,278,25,4,0
Brent 002E,E01000588,669,27,321,81,209,24,5,0
Brent 003A,E01000515,628,31,98,43,398,40,18,0
Brent 003B,E01000517,491,18,384,11,40,3,35,0
Brent 003E,E01000543,500,21,306,8,146,6,9,0
Brent 003F,E01000591,650,30,184,237,122,30,46,0
Brent 003G,E01033463,848,56,618,116,40,12,6,0
Brent 004A,E01000536,522,131,232,9,106,13,25,0
Brent 004B,E01000538,478,208,259,1,7,3,0,0
Brent 004C,E01000539,548,61,338,7,137,4,1,0
Brent 004D,E01000540,471,199,238,5,21,8,0,0
Brent 004E,E01000541,499,27,221,19,166,36,25,0
Brent 005A,E01000518,557,27,226,152,107,41,4,0
Brent 005B,E01000519,629,41,282,30,222,24,16,0
Brent 005C,E01000623,541,23,218,170,90,19,21,0
Brent 005D,E01000624,594,76,325,120,29,44,0,0
Brent 005E,E01000629,605,31,143,313,38,74,6,0
Brent 006A,E01000480,535,291,169,9,54,12,0,0
Brent 006B,E01000484,423,40,133,129,110,9,2,0
Brent 006C,E01000485,488,58,175,50,198,6,1,0
Brent 006D,E01000486,532,60,425,7,11,23,0,0
Brent 006E,E01000487,674,89,221,15,292,34,23,0
Brent 007A,E01000572,462,30,337,5,71,19,0,0
Brent 007B,E01000573,474,30,245,164,18,14,3,0
Brent 007C,E01000574,428,21,320,8,52,13,14,0
Brent 007D,E01000575,625,34,222,74,231,25,39,0
Brent 007E,E01000577,793,22,75,99,566,15,6,0
Brent 008A,E01000562,480,338,46,9,78,8,1,0
Brent 008B,E01000563,474,94,344,6,26,2,2,0
Brent 008C,E01000566,475,21,327,90,25,12,0,0
Brent 008D,E01000568,787,41,158,32,294,26,17,0
Brent 008E,E01000569,480,27,443,4,4,1,1,0
Brent 009A,E01000479,510,210,236,6,42,15,1,0
Brent 009B,E01000481,610,91,27,42,436,10,3,1
Brent 009C,E01000482,992,68,74,153,636,37,23,1
Brent 009D,E01000483,643,12,53,112,426,31,4,0
Brent 009E,E01000625,557,86,161,29,176,96,9,0
Brent 010B,E01000498,457,44,73,258,65,10,7,0
Brent 010D,E01000622,636,25,121,95,261,134,0,0
Brent 010E,E01000626,590,30,92,164,248,56,0,0
Brent 010F,E01033464,813,63,205,480,37,27,1,0
Brent 011A,E01000497,586,59,195,136,128,62,6,0
Brent 011B,E01000499,500,22,208,96,154,15,0,1
Brent 011C,E01000501,734,15,94,76,532,14,0,0
Brent 011D,E01000502,453,35,211,32,93,79,1,0
Brent 011E,E01000503,721,71,295,101,230,23,0,1
Brent 012A,E01000570,513,28,225,86,129,43,2,0
Brent 012B,E01000571,477,23,387,10,24,30,0,1
Brent 012C,E01000576,534,39,310,6,143,18,18,0
Brent 012D,E01000578,689,120,150,23,342,47,5,2
Brent 013A,E01000564,460,19,239,44,105,42,11,0
Brent 013B,E01000565,497,44,208,47,163,15,14,0
Brent 013C,E01000607,667,178,265,94,66,59,2,1
Brent 013D,E01000608,734,48,165,90,326,52,53,0
Brent 013E,E01000613,639,44,89,77,403,25,0,1
Brent 014A,E01000506,657,21,88,105,276,149,13,1
Brent 014B,E01000509,430,27,144,207,21,26,0,0
Brent 014C,E01000510,533,23,231,28,136,54,61,0
Brent 014D,E01000511,543,28,166,80,191,73,3,0
Brent 014E,E01000627,653,31,214,123,210,59,16,0
Brent 014F,E01000628,633,34,188,111,188,95,2,0
Brent 015A,E01000553,696,38,70,174,132,249,24,0
Brent 015B,E01000554,683,24,90,109,245,213,1,1
Brent 015C,E01000555,512,65,209,35,73,126,2,0
Brent 015D,E01000556,800,40,48,63,283,278,59,0
Brent 015E,E01000557,751,22,68,40,339,262,2,0
Brent 015F,E01000558,665,82,56,21,159,315,11,0
Brent 016A,E01000567,486,52,194,33,185,20,2,0
Brent 016B,E01000606,567,25,78,300,106,57,1,0
Brent 016C,E01000609,640,32,191,197,163,51,6,0
Brent 016D,E01000611,454,31,85,116,152,70,0,0
Brent 017B,E01000615,563,13,85,155,302,8,0,0
Brent 017C,E01000617,528,26,363,12,89,32,6,0
Brent 017D,E01000618,500,23,371,52,43,9,2,0
Brent 017E,E01000619,473,25,290,138,13,7,0,0
Brent 017F,E01033424,638,3,7,2,610,2,2,0
Brent 017G,E01033457,562,28,169,23,258,57,27,0
Brent 018A,E01000504,676,14,137,90,130,287,1,0
Brent 018B,E01000505,525,20,303,43,134,14,0,0
Brent 018C,E01000507,508,52,277,113,40,24,0,0
Brent 018D,E01000512,610,22,110,272,132,68,6,0
Brent 018E,E01000559,650,10,91,25,155,339,5,0
Brent 019A,E01000610,621,88,124,50,329,26,0,0
Brent 019B,E01000612,521,33,218,86,145,33,2,0
Brent 019C,E01000631,522,37,268,59,114,42,0,0
Brent 019D,E01000633,554,48,180,75,157,62,24,0
Brent 019E,E01000634,696,42,151,144,306,36,15,2
Brent 020A,E01000616,586,34,106,161,188,77,12,1
Brent 020B,E01000620,500,36,186,151,84,39,3,1
Brent 020C,E01000621,514,29,271,98,56,33,22,1
Brent 020D,E01000635,774,61,138,165,283,79,44,0
Brent 020E,E01000636,518,31,84,288,53,37,24,1
Brent 021A,E01000596,640,22,135,105,323,51,0,0
Brent 021B,E01000601,477,36,77,161,181,13,2,7
Brent 021C,E01000602,512,18,99,115,264,13,2,1
Brent 021D,E01000603,576,17,59,130,357,9,0,1
Brent 021E,E01000604,548,30,104,137,267,7,3,0
Brent 021F,E01000605,553,40,189,143,175,5,0,1
Brent 022A,E01000488,533,104,97,17,182,118,2,0
Brent 022B,E01000637,636,32,33,203,108,258,0,0
Brent 022C,E01000639,716,20,43,87,200,360,0,1
Brent 022D,E01000642,915,14,30,36,402,314,90,0
Brent 022E,E01000644,728,26,89,161,173,252,16,1
Brent 023A,E01000490,787,8,30,11,308,396,13,0
Brent 023B,E01000494,724,55,81,30,419,114,0,0
Brent 023C,E01000495,850,29,16,6,508,253,4,0
Brent 023D,E01000560,727,70,65,23,128,416,1,0
Brent 023E,E01000561,823,25,11,12,541,202,1,0
Brent 024A,E01000638,715,30,41,117,250,242,32,1
Brent 024B,E01000640,802,29,42,117,306,242,51,0
Brent 024C,E01000641,715,32,49,147,207,272,6,0
Brent 024D,E01000643,840,23,106,101,518,70,3,0
Brent 025A,E01000508,716,48,75,193,289,85,19,1
Brent 025B,E01000521,905,32,56,112,310,315,19,2
Brent 025C,E01000522,710,17,76,90,382,135,2,1
Brent 025D,E01000526,813,45,73,168,439,76,8,2
Brent 025E,E01000527,813,55,93,199,142,316,4,0
Brent 025F,E01000528,600,33,47,113,303,84,2,2
Brent 026A,E01000471,469,36,165,232,19,12,2,1
Brent 026B,E01000474,501,40,228,126,72,34,0,1
Brent 026C,E01000476,455,47,136,237,16,18,0,1
Brent 026D,E01000477,656,26,137,146,227,113,6,1
Brent 026E,E01000630,768,31,165,103,398,59,7,0
Brent 027A,E01000595,582,40,75,151,166,148,0,0
Brent 027D,E01000599,489,33,31,138,279,3,5,0
Brent 027E,E01000600,783,33,48,155,485,47,10,0
Brent 027F,E01033456,743,47,97,181,390,28,0,0
Brent 028A,E01000545,856,6,28,71,284,376,54,0
Brent 028B,E01000546,756,12,18,157,220,287,36,0
Brent 028C,E01000547,768,15,32,204,126,370,2,0
Brent 028D,E01000548,1014,10,10,41,530,362,40,0
Brent 028E,E01000549,883,13,27,166,88,537,2,0
Brent 029A,E01000472,512,14,35,103,342,10,6,2
Brent 029B,E01000473,520,24,122,122,208,23,19,0
Brent 029C,E01000475,596,51,93,210,208,26,2,0
Brent 029D,E01000478,447,34,132,222,32,22,5,0
Brent 029E,E01000632,548,48,272,48,76,78,23,1
Brent 030A,E01000489,593,75,133,39,237,93,7,0
Brent 030B,E01000491,806,105,85,32,421,143,2,0
Brent 030C,E01000492,467,38,152,129,59,86,3,0
Brent 030D,E01000493,578,15,297,106,35,122,3,0
Brent 030E,E01000581,603,9,68,162,91,251,12,0
Brent 031A,E01000523,993,33,86,206,266,340,43,0
Brent 031B,E01000524,1035,24,82,59,433,305,59,2
Brent 031C,E01000525,785,29,60,89,228,359,13,0
Brent 031E,E01000533,952,24,116,91,380,285,31,0
Brent 031F,E01000535,829,35,96,168,213,296,15,0
Brent 031G,E01033455,501,19,18,88,200,125,50,1
Brent 031H,E01033485,789,27,95,130,198,278,29,2
Brent 032A,E01000579,683,25,61,189,94,306,3,0
Brent 032B,E01000580,821,5,39,282,280,201,10,0
Brent 032C,E01000582,720,11,91,240,101,258,3,2
Brent 032D,E01000583,1017,15,49,195,198,487,31,0
Brent 032E,E01000586,1093,21,54,115,491,298,94,0
Brent 033A,E01000530,700,13,79,288,74,243,0,0
Brent 033B,E01000531,908,20,33,224,252,331,37,0
Brent 033C,E01000532,733,25,50,305,76,218,5,1
Brent 033D,E01000534,651,8,129,131,83,283,0,0
Brent 033E,E01000584,619,11,103,280,63,150,10,0
Brent 033F,E01000585,718,5,42,214,117,337,3,0
Brent 034A,E01000544,742,12,30,57,520,87,9,0
Brent 034B,E01000550,906,4,20,35,566,263,6,0
Brent 034C,E01000551,940,10,10,29,790,67,6,0
Brent 034D,E01000552,793,3,14,33,717,2,3,1
Bromley 001A,E01000779,551,146,129,90,140,34,12,0
Bromley 001B,E01000780,628,14,242,142,217,13,0,0
Bromley 001C,E01000781,614,22,104,361,122,5,0,0
Bromley 001D,E01000782,647,22,87,337,170,7,24,0
Bromley 001E,E01000783,626,26,118,429,45,7,0,1
Bromley 001F,E01000785,609,50,89,374,91,5,0,0
Bromley 002A,E01000689,612,77,119,124,247,36,9,0
Bromley 002B,E01000690,534,127,226,146,33,0,2,0
Bromley 002C,E01000691,619,16,172,296,110,12,12,1
Bromley 002D,E01000692,659,57,209,303,32,16,42,0
Bromley 002E,E01000784,582,16,326,154,74,11,1,0
Bromley 004A,E01000799,719,11,43,331,140,106,82,0
Bromley 004B,E01000802,750,26,83,311,118,198,12,0
Bromley 004C,E01000803,730,43,133,106,192,232,5,0
Bromley 004D,E01000804,548,24,345,70,51,55,3,0
Bromley 004E,E01000805,717,10,202,255,175,58,14,1
Bromley 005A,E01000740,871,13,34,110,545,128,37,1
Bromley 005B,E01000741,842,21,40,21,354,392,9,0
Bromley 005C,E01000742,1044,18,41,63,432,454,2,0
Bromley 005D,E01000745,883,37,28,29,514,262,2,0
Bromley 005E,E01000746,949,26,106,124,338,305,29,0
Bromley 006A,E01000709,787,34,93,145,496,18,1,0
Bromley 006B,E01000710,862,58,51,45,680,26,1,0
Bromley 006C,E01000711,1012,43,28,53,829,58,1,0
Bromley 006D,E01000714,1036,13,44,274,502,103,88,1
Bromley 006E,E01000718,971,56,128,141,611,28,1,0
Bromley 007A,E01000645,536,431,18,18,34,35,0,0
Bromley 007B,E01000649,774,424,60,162,73,49,1,0
Bromley 007C,E01000694,635,419,149,23,29,10,5,0
Bromley 007D,E01000695,614,277,167,58,76,35,1,0
Bromley 007E,E01000696,637,363,49,108,73,36,4,0
Bromley 007F,E01000697,765,191,88,161,227,90,4,0
Bromley 008A,E01000674,802,35,95,155,416,85,2,0
Bromley 008B,E01000676,866,10,42,78,465,204,48,0
Bromley 008C,E01000820,643,137,88,120,241,52,5,0
Bromley 008D,E01000822,727,52,141,131,275,123,2,0
Bromley 008E,E01000823,747,91,140,243,84,149,20,0
Bromley 008F,E01000824,514,19,145,138,127,70,7,0
Bromley 008G,E01000825,807,27,90,195,339,142,6,0
Bromley 009A,E01000743,841,22,47,115,467,166,18,0
Bromley 009B,E01000744,682,17,59,129,405,63,6,0
Bromley 009C,E01000796,638,17,62,176,367,11,1,0
Bromley 009D,E01000798,693,15,88,167,284,88,36,1
Bromley 009E,E01000800,780,16,96,106,384,173,3,2
Bromley 009F,E01000806,768,18,45,78,375,204,36,0
Bromley 010A,E01000693,570,250,74,65,130,38,13,0
Bromley 010B,E01000698,439,392,31,11,3,2,0,0
Bromley 010C,E01000736,618,38,368,143,68,1,0,0
Bromley 010D,E01000737,580,104,183,229,54,5,5,0
Bromley 011A,E01000672,650,100,155,132,221,41,1,0
Bromley 011B,E01000673,630,63,288,111,115,52,1,0
Bromley 011C,E01000716,702,235,65,87,259,49,1,0
Bromley 011D,E01000717,889,113,44,47,560,122,0,0
Bromley 011E,E01000828,766,104,147,56,367,79,0,0
Bromley 012A,E01000712,862,103,27,116,561,51,0,0
Bromley 012B,E01000713,885,136,43,176,511,16,1,0
Bromley 012C,E01000715,885,80,118,108,492,70,15,0
Bromley 012D,E01000770,691,189,86,45,281,80,10,0
Bromley 012E,E01000772,734,205,74,101,301,53,0,0
Bromley 013A,E01000700,666,19,90,375,111,69,2,0
Bromley 013B,E01000702,572,27,195,184,40,110,13,0
Bromley 013C,E01000703,694,38,216,85,142,149,28,0
Bromley 013D,E01000706,591,20,197,148,172,52,2,0
Bromley 013E,E01000797,679,56,369,39,124,70,17,0
Bromley 014A,E01000729,824,11,236,177,365,6,29,0
Bromley 014B,E01000730,649,20,253,268,97,1,7,0
Bromley 014C,E01000735,562,39,272,190,45,10,6,0
Bromley 014D,E01000738,632,76,308,164,71,11,1,1
Bromley 014E,E01000739,634,20,209,254,144,3,2,0
Bromley 015A,E01000699,648,15,71,112,245,193,10,1
Bromley 015B,E01000701,599,23,123,207,115,126,3,0
Bromley 015C,E01000704,593,9,71,321,102,74,16,0
Bromley 015D,E01000705,565,26,90,179,141,125,0,0
Bromley 015E,E01000801,650,10,112,230,223,73,2,0
Bromley 016A,E01000646,728,159,86,65,331,73,9,0
Bromley 016B,E01000647,635,21,146,348,80,39,1,0
Bromley 016C,E01000648,646,136,258,122,44,67,5,0
Bromley 016D,E01000653,608,346,48,69,128,17,0,0
Bromley 016E,E01000678,666,33,190,303,98,36,6,0
Bromley 018A,E01000670,864,239,146,66,284,61,3,0
Bromley 018B,E01000675,690,81,280,41,184,87,17,0
Bromley 018C,E01000677,800,28,243,182,234,88,23,0
Bromley 018D,E01000762,743,233,44,218,225,14,8,1
Bromley 018E,E01000829,734,32,145,367,104,81,1,0
Bromley 019A,E01000719,853,30,162,343,292,17,5,4
Bromley 019B,E01000720,668,75,187,288,93,4,3,18
Bromley 019C,E01000721,524,15,140,188,161,5,10,5
Bromley 019D,E01000724,674,19,240,170,238,3,0,4
Bromley 019E,E01000728,657,58,365,145,66,8,12,3
Bromley 020A,E01000651,631,119,168,185,115,43,1,0
Bromley 020B,E01000668,691,61,235,260,77,40,15,0
Bromley 020C,E01000669,740,42,230,365,68,19,16,0
Bromley 020D,E01000671,784,52,241,172,283,32,4,0
Bromley 020E,E01000679,662,15,221,363,41,9,13,0
Bromley 021A,E01000826,563,329,197,5,30,2,0,0
Bromley 021B,E01000827,790,255,106,36,357,26,10,0
Bromley 021C,E01000830,544,457,66,12,7,2,0,0
Bromley 021D,E01000831,789,236,143,20,362,26,0,0
Bromley 021E,E01000833,497,227,249,12,3,4,2,0
Bromley 022A,E01000650,750,448,88,53,120,32,5,0
Bromley 022B,E01000652,659,130,435,56,17,7,14,0
Bromley 022C,E01000807,595,106,365,5,30,2,87,0
Bromley 022D,E01000809,629,43,540,7,33,4,2,0
Bromley 023A,E01000722,704,82,386,125,74,21,16,0
Bromley 023B,E01000725,775,36,171,332,197,21,10,0
Bromley 023C,E01000731,532,32,327,153,13,4,3,0
Bromley 023D,E01000732,587,227,228,96,35,1,0,0
Bromley 023E,E01000733,651,86,384,110,63,2,6,0
Bromley 024A,E01000769,454,11,179,245,17,2,0,0
Bromley 024B,E01000773,605,23,180,306,92,3,1,0
Bromley 024C,E01000775,867,177,180,352,127,8,17,1
Bromley 024D,E01000777,565,8,99,425,8,4,21,0
Bromley 024E,E01000778,618,16,151,358,89,0,4,0
Bromley 025A,E01000808,625,244,253,96,30,2,0,0
Bromley 025B,E01000810,599,210,365,11,12,1,0,0
Bromley 025C,E01000811,571,37,366,8,137,22,1,0
Bromley 025D,E01000813,637,56,518,38,22,1,2,0
Bromley 025E,E01000815,562,286,263,6,6,1,0,0
Bromley 026A,E01000661,671,31,88,101,418,24,3,1
Bromley 026B,E01000662,680,40,276,277,86,1,0,0
Bromley 026C,E01000663,660,26,323,225,81,5,0,0
Bromley 026D,E01000664,612,100,283,188,35,1,0,0
Bromley 027A,E01000763,523,51,463,8,1,0,0,0
Bromley 027B,E01000764,633,39,409,172,13,0,0,0
Bromley 027C,E01000766,645,146,477,18,1,2,1,0
Bromley 027D,E01000767,598,53,515,7,20,2,1,0
Bromley 027E,E01000834,461,36,183,241,0,0,1,0
Bromley 028A,E01000727,687,109,237,210,110,9,12,0
Bromley 028B,E01000734,507,124,232,18,104,29,0,0
Bromley 028C,E01000790,872,203,184,50,301,43,86,0
Bromley 028D,E01000812,663,272,131,199,27,13,21,0
Bromley 028E,E01000814,564,377,133,45,4,0,5,0
Bromley 029A,E01000723,561,66,463,26,4,2,0,0
Bromley 029B,E01000726,590,77,287,173,46,4,3,0
Bromley 029C,E01000787,667,29,404,113,118,2,0,1
Bromley 029D,E01000788,618,61,381,131,26,7,12,0
Bromley 029E,E01000791,621,68,498,17,37,1,0,0
Bromley 030A,E01000832,572,122,317,42,84,4,3,0
Bromley 030B,E01000835,648,61,317,71,75,31,89,0
Bromley 030C,E01000836,500,31,159,301,4,3,2,0
Bromley 030D,E01000837,647,85,250,79,194,13,2,24
Bromley 030E,E01000838,548,122,246,119,46,11,4,0
Bromley 030F,E01000839,550,97,393,7,46,6,1,0
Bromley 030G,E01000840,685,213,281,35,150,3,3,0
Bromley 030H,E01000841,606,77,311,159,35,2,21,1
Bromley 031A,E01000753,750,442,155,92,59,2,0,0
Bromley 031B,E01000754,743,142,246,273,67,7,8,0
Bromley 031C,E01000755,615,177,230,176,31,1,0,0
Bromley 031D,E01000757,601,310,268,10,6,7,0,0
Bromley 031E,E01000758,591,193,299,65,31,1,0,0
Bromley 032A,E01000786,627,319,212,59,18,12,7,0
Bromley 032B,E01000789,657,12,138,107,394,1,5,0
Bromley 032C,E01000792,483,54,291,88,47,1,2,0
Bromley 032D,E01000793,643,260,338,41,4,0,0,0
Bromley 032E,E01000795,542,116,340,33,50,1,2,0
Bromley 033A,E01000665,757,160,320,155,84,20,18,0
Bromley 033B,E01000666,776,466,131,73,81,20,5,0
Bromley 033C,E01000667,622,351,245,11,9,3,3,0
Bromley 033D,E01000756,594,395,121,19,39,1,19,0
Bromley 034A,E01000759,549,105,411,13,8,11,1,0
Bromley 034B,E01000760,550,61,351,5,94,9,30,0
Bromley 034C,E01000761,577,60,500,7,6,1,3,0
Bromley 034D,E01000765,679,147,300,107,50,17,58,0
Bromley 034E,E01000768,613,252,145,13,197,2,4,0
Bromley 035A,E01000681,654,68,499,72,14,1,0,0
Bromley 035B,E01000682,642,56,465,66,36,3,16,0
